,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Brahmin_Gujarat,0.063456,-0.020463,-0.121376,0.092976,-0.074445,0.054216,0.00168,0.007465,0.01309,0.003709,-0.005724,0.00027,-0.000416,-0.00472,0.004655,0.006444,0,-0.000139,-0.000264,-0.006885,-0.000387,-0.00366,0.001997,0.000247,-9e-05
Brahmin_Manipuri,0.033692,-0.256523,-0.079723,0.032752,-0.004416,0.042099,0.001798,0.005019,0.019685,0.01488,-0.028483,-0.002368,0.00498,-0.002291,-0.00851,-0.003268,0.006663,-0.002008,-0.005964,0.00424,-0.000524,0.015259,0.002878,0.003796,0.021118
Brahmin_Tamil_Nadu,0.054066,-0.048238,-0.139912,0.098354,-0.07586,0.059125,0.001175,0.009807,0.024543,0.018132,-0.007713,-0.000824,-0.00394,0.000413,0.006379,0.008817,0.01004,-0.0019,-0.001257,-0.001626,0.002558,-0.002535,0.000123,0.002109,-0.000778
Brahmin_West_Bengal,0.056342,-0.053766,-0.125937,0.101476,-0.062747,0.057699,0.001397,0.008756,0.025463,0.014184,-0.002707,0.001299,-0.002717,-0.00198,-0.00049,-0.000567,0.001601,2.8e-05,-0.000391,-0.000917,0.000111,-0.000975,0.001801,0.003146,-0.001317
Brahui,0.068654,0.048531,-0.103251,0.03179,-0.073164,0.029695,0.005616,0.002235,-0.02126,-0.02043,-0.003384,-0.003644,0.005195,-0.010365,0.015644,0.02984,-0.00993,0.004507,0.005703,-0.025973,-0.000453,-0.015027,-0.000824,-0.017054,0.012441
Bulgarian,0.12475,0.134862,0.025644,0.005362,0.02462,-0.000837,0.005499,0.003046,-0.000286,0.006998,-0.003345,0.000899,0.002111,0.008643,-0.014305,-0.002228,0.007093,0.002002,0.003142,-0.003702,-0.004617,-0.000544,0.00281,-0.002482,-0.001078
Burmese,0.020488,-0.380824,-0.044123,-0.023515,0.052071,0.038375,0.001081,0.000923,0.00135,0.007289,-0.02478,-0.002668,0.00553,-0.001486,-0.006705,-0.003421,0.003938,-0.001976,-0.005028,0.005328,0.001023,0.021169,0.0035,0.003133,0.027016
Burusho,0.071383,-0.03685,-0.085499,0.061416,-0.065566,0.038872,0.003637,0.003253,-0.011015,-0.010544,-0.013038,-0.001413,8.5e-05,-0.010649,0.00921,0.009957,0.000192,-0.00105,0.000377,-0.006396,-0.003773,-0.001142,0.003439,-0.000166,0.004733
Buryat,0.050765,-0.33218,0.077649,-0.022352,-0.063581,-0.034053,0.017978,0.023699,0.006831,0.010515,-0.020607,-0.001094,0.000297,0.006055,0.004655,0.002281,0.000561,-0.000456,0.005669,0.016095,-0.021961,-0.010956,-0.023109,-0.003723,0.003054
Bustan_BA,0.081953,0.07718,-0.112476,0.007429,-0.092787,0.020429,0.002409,-0.004442,-0.058596,-0.032028,0.002639,0.001012,0.004014,-0.005126,0.009127,0.024728,-0.003977,0.004339,0.007102,-0.020604,-0.000936,-0.011994,-0.007395,-0.019762,0.00473
Butkara_IA,0.059947,-0.020311,-0.130609,0.08032,-0.087196,0.047225,0.001645,0.003846,-0.005454,-6.1e-05,-0.002707,-0.001798,-0.004559,-0.005184,0.006198,0.01569,0.010127,-0.001605,0.002807,-0.006712,-0.00025,-0.008491,-0.002917,-0.003776,0.00475
Cachi,0.052643,-0.292472,0.112759,0.090602,-0.105481,-0.018198,-0.285949,-0.341697,-0.010891,-0.012255,-0.001867,-0.001424,0.001598,0.022811,-0.006447,0.004243,0.009551,0.001805,-0.000189,-0.001094,-0.001248,0.005626,-0.001541,-0.001627,0.000569
Cambodian,0.01622,-0.394025,-0.065525,-0.032704,0.117022,0.063517,0.000176,-0.005654,-0.004142,-0.0118,0.045063,0.002585,-0.002341,-0.000619,-0.001391,-0.006,-0.005183,-0.003674,-0.004682,0.005253,-0.005178,0.010974,-0.000986,0.000452,0.022273
Chamar,0.037941,-0.096475,-0.169139,0.126671,-0.071654,0.06619,-0.003251,0.012269,0.059312,0.038239,-0.005142,-0.001124,0.001487,0.004473,-0.0095,-0.012684,0.007627,-0.00133,-0.003918,0.006503,0.002163,0.005915,0.00076,0.002872,-0.006407
Chane,0.055773,-0.316845,0.113136,0.101422,-0.112329,-0.022869,-0.302929,-0.359062,-0.010635,-0.012757,0.006333,-0.006894,0.00773,0.026011,-0.011401,0.001989,0.008736,0.005448,0.003771,-0.002501,0.000624,0.007172,-0.003451,-0.009881,0.001078
Chechen,0.112306,0.101891,-0.031594,-0.008793,-0.035083,0.009017,0.008591,-0.005923,-0.05529,-0.032175,-0.000992,0.007577,-0.017212,-0.005214,0.011039,-0.008427,0.004766,-0.005828,-0.010461,0.011631,0.003868,0.002748,0.003985,0.00715,-0.004604
Chenchu,0.03263,-0.114417,-0.165179,0.110144,-0.065858,0.060054,-0.004308,0.014153,0.052972,0.037115,-0.008769,-0.000999,-0.002478,0.006239,-0.009636,-0.014629,0.003433,-0.003927,-0.003771,0.00963,0.000749,0.00136,0.002218,0.002771,-0.00487
Cherkes,0.10927,0.083984,-0.020666,-0.015956,-0.03256,0.002371,0.010669,-0.002008,-0.047818,-0.024547,-0.003914,0.006849,-0.012532,0.003262,2.7e-05,-0.016587,0.004929,-0.002128,-0.00714,0.015658,0.008048,-0.00042,0.001578,-0.006157,-0.001413
CHG,0.087644,0.106631,-0.086361,-0.002261,-0.08617,0.0251,0.028436,0.003923,-0.129464,-0.077086,-0.005359,0.023979,-0.056788,0.012386,0.030401,-0.032617,0.025034,-0.012289,-0.021117,0.033641,0.030821,-0.009398,0.009613,-0.022654,-0.001078
Chukchi,0.053687,-0.339187,0.11741,0.029985,-0.108225,-0.046993,-0.055345,-0.061113,0.007124,-0.007168,0.033154,-0.002723,0.005823,-0.01812,-0.029542,-0.017679,-0.00126,0.014506,0.0331,0.017321,0.034169,-0.050986,0.011113,0.021107,0.032851
Chuvash,0.111433,-0.002539,0.081722,0.056751,-0.009663,0.007446,0.013537,0.016361,-0.009101,-0.033367,0.016271,-0.011105,0.025466,-0.018951,-0.024185,-0.01493,-0.000743,-0.004801,-0.022626,-0.019297,0.006888,0.003104,-0.029555,0.005808,-0.001233
Clovis,0.048944,-0.294504,0.114645,0.0969,-0.097864,-0.012271,-0.259922,-0.314756,-0.011862,-0.024055,0.006496,-0.002398,-0.000743,0.010597,-0.012079,0.006232,0.008345,0.00038,-0.003268,0.005753,-0.001747,0.003586,-0.006532,-0.000723,0.003712
