,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
England_N,0.125711,0.170044,0.055814,-0.037073,0.084187,-0.022559,-0.004831,0.001872,0.064152,0.089579,0.002634,0.013388,-0.026131,-0.012829,-0.009214,0.004641,0.014864,0.002717,0.003059,-0.000264,0.01087,0.002514,-0.014379,-0.031477,0.000333
England_Roman,0.126913,0.137604,0.060842,0.049742,0.036828,0.018174,0.005013,0.005654,0.001943,0.001913,-0.005711,0.006919,-0.014321,-0.011216,0.022303,-8.8e-05,-0.010561,0.000992,0.003876,0.002814,0.005885,0.001587,-0.004416,0.00733,-0.000758
England_Roman_o,0.05122,0.156392,-0.050911,-0.102068,-0.003077,-0.044065,-0.012926,-0.007154,0.031906,0.000364,0.004384,-0.015436,0.027354,0.003853,-0.003936,0.005304,-0.000782,-0.001014,-0.005908,0.010505,0.003494,-0.003833,-0.001109,0.006868,-0.010059
English,0.131855,0.137043,0.061788,0.044013,0.03923,0.016748,0.004985,0.005745,0.005264,0.005678,-0.004769,0.005616,-0.012589,-0.010351,0.020615,0.003552,-0.010369,0.004094,0.003685,0.002962,0.005937,0.003404,-0.003269,0.013794,3.1e-05
English_Cornwall,0.130197,0.139752,0.061355,0.043183,0.041901,0.016412,0.003435,0.00639,0.006482,0.006967,-0.004634,0.006479,-0.013745,-0.010248,0.020755,0.003172,-0.012527,0.002115,0.003761,0.003242,0.004809,0.003871,-0.000758,0.014367,0.000691
Eritrean,-0.204122,0.107984,-0.033187,-0.088395,0.002975,-0.040811,-0.015354,0.000154,0.101512,-0.061778,-0.00184,-0.01084,0.019871,0.001468,0.021896,-0.004685,0.007432,-8.5e-05,0.007793,0.002585,0.004783,0.007419,-0.001972,-0.000361,-0.003153
Esan_Nigeria,-0.631832,0.063877,0.023117,0.018023,-0.002462,0.013945,-0.041855,0.045967,-0.050988,0.034716,0.007973,-0.001424,0.023801,0.003207,0.012758,-0.009175,0.006845,0.003167,0.005983,-0.002826,0.000998,0.001138,-0.000764,-0.000819,-0.000587
Eskimo,0.047806,-0.368637,0.118164,0.040591,-0.123408,-0.044065,-0.10223,-0.117995,0.006817,-0.010752,0.029446,-0.004546,0.007136,-0.019084,-0.036328,-0.018651,-0.004216,0.017103,0.036871,0.019759,0.028325,-0.049667,0.006861,0.028639,0.036164
Eskimo_Chaplin,0.045757,-0.374324,0.119623,0.036564,-0.12113,-0.043618,-0.093769,-0.104396,0.007567,-0.014251,0.031244,-0.004466,0.011417,-0.019267,-0.032491,-0.012357,-0.003885,0.022094,0.038087,0.024012,0.031519,-0.050895,0.006187,0.02745,0.042703
Eskimo_Naukan,0.046288,-0.363763,0.120729,0.04466,-0.11994,-0.042707,-0.10552,-0.122441,0.005917,-0.013255,0.029468,-0.004846,0.010059,-0.018212,-0.033206,-0.013507,0.000356,0.013733,0.035799,0.019193,0.028608,-0.049733,0.009958,0.027008,0.041865
Eskimo_Sireniki,0.046667,-0.367331,0.118039,0.038806,-0.119451,-0.046057,-0.092258,-0.105259,0.005259,-0.011689,0.029995,-0.003104,0.006945,-0.018717,-0.033717,-0.016953,-0.003092,0.014913,0.036416,0.017919,0.029911,-0.052835,0.013663,0.027267,0.040424
Estonian,0.132794,0.115009,0.086738,0.082662,0.043008,0.029888,0.011457,0.014422,0.000341,-0.028414,1.3e-05,-0.011864,0.019177,0.021091,-0.007272,0.002597,0.000348,-0.001826,0.001341,0.001824,0.001425,-0.002277,0.004447,0.000241,0.003313
Ethiopia_4500BP,-0.511066,0.043668,0.000754,0.000969,-0.00277,-0.011435,0.050997,-0.045229,0.089172,-0.087838,-0.012991,-0.002997,-0.031219,0.000688,0.02158,-0.029965,0.027772,0.039273,0.00176,-0.009004,0.000374,0.006183,-0.003451,-0.00241,-0.000838
Ethiopian_Afar,-0.221196,0.101553,-0.032935,-0.079997,-0.000821,-0.034861,-0.017548,0.001,0.106489,-0.062082,-0.001516,-0.010591,0.02002,-0.001009,0.024113,-0.012684,0.009735,-0.001436,0.007123,0.000584,0.005199,0.009068,-0.00189,0.006145,-0.003553
Ethiopian_Amhara,-0.225939,0.106292,-0.035512,-0.082814,0.000718,-0.038936,-0.014231,-0.001064,0.103921,-0.063469,-0.001452,-0.013238,0.017608,0.001086,0.02259,-0.01281,0.007693,0.002126,0.006075,0.002432,0.00418,0.006691,-0.003095,0.003735,-0.001969
Ethiopian_Anuak,-0.572973,0.053485,0.001383,-0.006998,-0.002069,-0.002773,-0.008421,0.012846,0.078469,-0.096727,-0.01982,0.023196,-0.039147,-0.000803,0.008603,-0.016721,0.021028,-0.008319,0.019665,-0.018947,6.2e-05,0.00509,-0.004916,-0.002638,0.004617
Ethiopian_Ari_blacksmith,-0.422284,0.064994,-0.017096,-0.036661,-0.001898,-0.020917,0.025694,-0.024499,0.103728,-0.086593,-0.01272,-0.00517,-0.0167,-0.000757,0.02581,-0.022651,0.02599,0.018855,0.005049,-0.007691,0.000229,0.003318,-0.004704,-4e-05,0.001776
Ethiopian_Ari_cultivator,-0.410825,0.067702,-0.018479,-0.037296,0.000102,-0.022534,0.024864,-0.024384,0.105957,-0.087546,-0.01193,-0.003367,-0.015322,-0.000239,0.025353,-0.023194,0.024025,0.018699,0.004802,-0.009129,-0.001497,0.004501,-0.002999,-0.001591,0.00075
Ethiopian_Gumuz,-0.525673,0.048915,-0.007165,-0.01249,-0.000769,-0.007762,0.005797,-0.001961,0.095376,-0.10108,-0.020136,0.017984,-0.037562,-0.002087,0.016038,-0.020463,0.024469,0.002112,0.014413,-0.017654,-0.000873,0.003277,-0.005793,-0.003213,0.004271
Ethiopian_Jew,-0.232578,0.104769,-0.033501,-0.082419,0.001129,-0.039881,-0.0132,-0.000538,0.108091,-0.068855,-0.002409,-0.012689,0.01779,-0.000344,0.02253,-0.011867,0.009561,0.001351,0.00507,0.002272,0.006572,0.011046,-0.004149,0.003093,-0.001377
Ethiopian_Oromo,-0.276323,0.09552,-0.029992,-0.071231,0.002136,-0.033697,-0.008212,-0.00528,0.104427,-0.07119,-0.005712,-0.010297,0.010345,-0.00017,0.021811,-0.014265,0.015493,0.004993,0.007202,7.4e-05,0.002877,0.006226,-0.00369,0.002956,-0.002339
Ethiopian_Tigray,-0.215059,0.107109,-0.034828,-0.084854,0.000199,-0.039848,-0.016575,-0.000611,0.101287,-0.060492,-0.002359,-0.013779,0.019763,0.001449,0.021021,-0.009445,0.011604,0.000194,0.005856,0.003046,0.003853,0.006525,-0.003038,0.003055,-0.00455
Ethiopian_Wolayta,-0.311875,0.087336,-0.02577,-0.062878,-0.000102,-0.030771,-0.000862,-0.012692,0.10683,-0.07417,-0.008119,-0.01114,0.004113,-0.001789,0.025515,-0.017237,0.011517,0.006588,0.005866,-0.002043,0.00262,0.004081,-0.004396,0.000924,-0.003034
Even,0.044391,-0.410951,0.131301,-0.013674,-0.129922,-0.079252,0.026752,0.035806,0.028531,0.023326,0.053859,0.007818,-0.014222,0.016469,-0.006153,-0.006497,-0.000413,0.00701,0.017367,0.004169,0.03577,-0.027389,0.008689,0.008174,0.011656
Evenk,0.040976,-0.421783,0.127215,-0.018519,-0.139205,-0.088037,0.028828,0.041229,0.022634,0.023205,0.063873,0.008542,-0.013677,0.016744,0.001267,0.000972,-0.00226,0.00663,0.01257,-0.007087,0.030654,-0.010799,0.015488,0.00964,0.004351
Finn_ancient,0.130897,0.126941,0.077687,0.075259,0.043393,0.023706,-0.000705,0.010615,0.006545,-0.005832,-0.002598,0.002847,-0.012339,-0.014038,0.026465,0.015513,-0.004042,0.002154,0.005405,0.012131,0.012852,0.005935,-0.002465,0.010965,0.002874
Finnish,0.130294,0.092234,0.088779,0.076076,0.031409,0.023213,0.00882,0.01371,0.003272,-0.022704,0.003764,-0.005986,0.011919,0.00629,0.002603,-0.002184,-0.009779,0.001051,0.001146,0.002008,0.007171,0.000778,0.002545,0.006096,0.002381
Finnish_East,0.126571,0.075454,0.095223,0.081299,0.027913,0.023985,0.009024,0.016361,0.005215,-0.030142,0.00479,-0.008887,0.018508,0.005725,0.000801,-0.002811,-0.005033,-0.000317,-0.002074,0.005428,0.008809,0.001274,0.002268,0.004916,0.004407
France_MLN,0.126344,0.174333,0.05066,-0.037791,0.088222,-0.031143,-0.005248,-0.001538,0.065243,0.093912,-0.000541,0.014587,-0.030475,-0.01812,-0.00941,0.004994,0.013647,0.002872,-0.000796,-0.001042,0.011979,0.001113,-0.016885,-0.029281,0.000878
French,0.125875,0.142054,0.047872,0.019874,0.042316,0.005414,0.001735,0.003529,0.011874,0.020239,-0.002703,0.007022,-0.014844,-0.010601,0.011732,0.001977,-0.003996,-0.000481,0.000336,0.000791,0.00247,0.000713,-0.001109,0.006298,-0.001261
French_East,0.124181,0.140752,0.049214,0.025162,0.039915,0.008673,0.002632,0.003715,0.009858,0.012283,-0.001656,0.003207,-0.009217,-0.00706,0.007831,0.005012,-0.001669,0.003243,0.003696,-0.001388,0.001734,-0.002386,-0.00069,0.003772,-0.000371
French_South,0.126181,0.144785,0.049618,0.00886,0.050691,0.002669,0.000269,0.002275,0.02764,0.03866,-0.006774,0.007365,-0.021853,-0.013566,0.010373,0.002765,-0.005104,0.001792,0.000215,0.001912,0.004991,-0.00083,-0.005264,-0.007557,-0.00142
Gadaba,0.004553,-0.242712,-0.159522,0.101745,0.010463,0.059404,-0.0047,0.008307,0.075674,0.046106,0.028256,0.001948,-0.002081,0.019405,-0.020222,-0.031954,0.011865,-0.006081,-0.008925,0.032766,0.001373,0.018548,-0.005793,0.009158,0.012334
Gambian,-0.60625,0.067787,0.01994,0.011588,0.002539,0.005892,-0.034664,0.038595,-0.031778,0.023736,0.006374,-0.00384,0.016446,1.7e-05,0.011808,-0.013276,0.009795,-0.000269,-0.002137,-0.00308,-0.001763,-0.002241,0.004021,0.000181,0.00217
Ganj_Dareh_N,0.044012,0.06804,-0.15374,0.002369,-0.121869,0.019057,0.017391,-0.003307,-0.083037,-0.0554,-0.000325,-0.004796,0.006145,-0.009496,0.029587,0.058826,-0.008084,0.009882,0.011103,-0.036226,0.0094,-0.02708,-0.011626,-0.037917,0.025746
Geoksiur_Eneolithic,0.07721,0.074472,-0.107102,0.02541,-0.108225,0.030306,0.011711,-0.004654,-0.084196,-0.056129,0.001137,0.00055,-0.003692,-0.01117,0.025176,0.032484,-0.005672,0.004709,0.004064,-0.023553,-0.002537,-0.015415,0.000431,-0.020565,0.013771
Georgian_Imer,0.108132,0.133237,-0.061999,-0.045995,-0.038346,-0.008925,0.011375,-0.005677,-0.063975,-0.017531,-0.000455,0.013038,-0.025153,0.007239,0.001873,-0.023866,0.007067,-0.004409,-0.009503,0.015307,0.011505,0.00136,2.5e-05,-0.007085,-0.001796
Georgian_Jew,0.099352,0.129988,-0.059154,-0.060724,-0.027786,-0.013467,0.000201,-0.005373,-0.021095,-0.004035,0.003225,-0.00197,0.006435,0.000845,-0.001144,0.007463,0.00108,-0.003258,0.003089,-0.001912,0.002763,0.003922,0.000493,-0.003753,0.003935
Georgian_Laz,0.108587,0.136893,-0.05423,-0.056461,-0.030652,-0.008534,0.00893,-0.004707,-0.049536,-0.012975,0.002891,0.009981,-0.017988,0.004101,-0.004044,-0.016759,0.012699,-0.003446,-0.002992,0.010455,0.006364,0.002028,-0.00138,-0.008676,-0.001102
Gepid_Serbia_ACD,0.092197,0.005078,0.039221,0.002907,0.00954,-0.001673,0.00517,0.008307,0.00634,0.010752,-0.014615,-0.00015,-0.00446,-0.010735,0.002579,-0.006232,-0.00326,0.005194,0.007919,-0.001876,-0.004243,0.016199,0.005793,0.006025,-0.002515
German,0.130859,0.137841,0.057134,0.038125,0.038736,0.01308,0.003047,0.0061,0.002202,0.000176,-0.005981,0.001344,-0.00338,-0.00206,0.007872,0.003606,-0.00233,0.001166,0.00339,-4.6e-05,0.002105,0.001492,-0.000193,0.006977,-5.2e-05
Germany_Medieval,0.12236,0.130394,0.061169,0.048773,0.039792,0.019941,0.010975,0.005215,0.001329,-0.002497,-0.003735,0.001109,-0.009157,-0.00384,0.016164,-0.000835,-0.013351,0.003269,0.004135,0.004027,0.006002,0.003734,-0.000727,0.011146,-0.000443
Germany_Medieval_ACD,0.117807,0.110566,0.04186,0.01938,0.022735,0.009134,0.0047,0.003461,0.000767,0.005604,-0.001725,0.00296,-0.004441,0.000292,0.004903,0.000249,-0.001516,-0.000554,0.00385,0.004471,0.000468,-0.000309,0.004267,0.000678,-0.003099
Germany_Medieval_o,0.125205,0.165531,-0.001886,-0.05491,0.024004,-0.015339,0.009165,0.010384,0.003681,0.029887,0.00341,-0.000599,-0.009663,-0.006331,-0.029044,-0.005304,0.002868,-0.004814,-0.002765,-0.016758,-0.007237,0.009645,0.008381,0.00253,-0.004191
Germany_MN,0.121791,0.172132,0.046386,-0.042798,0.084323,-0.031794,-0.00094,0.008769,0.053688,0.0831,0.003329,0.013563,-0.023934,-0.008739,-0.019476,0.011403,0.024512,0.005258,0.00773,-0.003126,0.009358,0.001978,-0.012756,-0.027173,-0.005688
Germany_Roman,0.117238,0.151314,0.045254,0.000323,0.052317,0.001952,0.0047,-0.006,0.01943,0.028064,-0.002436,0.004946,-0.017393,-0.013212,-0.004614,0.00411,0.009388,0.006334,-0.000377,5e-04,0.000624,0.001484,-0.000616,-0.00735,-0.001796
Globular_Amphora,0.125584,0.169255,0.060716,-0.019111,0.084888,-0.019057,-0.000392,0.005077,0.052767,0.073684,-0.000487,0.008892,-0.019524,-0.007913,-0.008347,0.002077,0.007671,0.0053,0.005112,-0.001542,0.008589,0.005894,-0.013557,-0.02173,0.000738
Golden_Horde_Asia,0.0387,-0.411289,0.098428,-0.032946,-0.080938,-0.052153,0.022796,0.026768,0.01309,0.022233,-0.01835,0.004196,-0.00446,0.017616,0.007736,-0.00305,0.006389,-0.00266,0.003645,0.029139,-0.02271,-0.019043,-0.027607,-0.00012,-0.002515
Golden_Horde_Europe,0.133173,0.12491,0.078441,0.073967,0.045855,0.028447,0.012456,0.015461,-0.002045,-0.031527,-0.00682,-0.010191,0.024083,0.028626,-0.021987,-0.000398,0.007432,0.000633,0.007793,0.014007,-0.001622,-0.00507,0.005053,-0.005422,0.002754
Gond,0.012186,-0.185603,-0.177424,0.120803,-0.029779,0.06421,-0.003553,0.013669,0.077093,0.049107,0.011348,0.002786,-0.003096,0.013301,-0.018602,-0.020817,0.009886,-0.002526,-0.00451,0.021849,0.002151,0.011842,-0.003639,0.007939,0.00212
Gonur1_BA,0.081745,0.079673,-0.108473,0.005843,-0.096466,0.018458,0.005362,-0.006587,-0.061208,-0.037507,-0.003676,0.003011,-0.005919,-0.007069,0.017002,0.02248,-0.006602,0.001589,0.002571,-0.023386,-0.001577,-0.015221,-0.001389,-0.015632,0.012421
Gonur1_BA_o,0.093335,0.037575,-0.038843,0.099484,-0.099095,0.036814,-0.002115,-0.010384,-0.061357,-0.06196,0.008119,-0.001798,0.007582,-0.033993,0.024158,0.013392,-0.014864,-0.003294,0.008296,-0.015257,-0.004866,0.006059,0.006409,-0.001687,0.004071
Gonur2_BA,0.064879,-0.004062,-0.165556,0.076874,-0.110174,0.05271,0.009165,0.006923,-0.020861,-0.007289,0.010555,0.006294,-0.002379,0.000138,0.019408,0.004243,-0.00339,0.002154,0.008925,-0.006253,0.005116,-0.014344,-0.001972,-0.01217,-0.001796
GoyetQ116-1,0.043253,-0.005078,0.003017,0.093993,0.045547,0.001952,-0.00517,-0.000692,0.065857,0.024055,0.003248,0.001049,0.009514,-0.022983,0.019137,0.017634,0.011995,0.004561,-0.006034,0.034767,0.026079,0.002473,-0.023664,-0.061695,0.003712
Greece_N,0.113823,0.176702,-0.002263,-0.095124,0.057857,-0.043228,-0.007873,-0.008192,0.035894,0.085742,0.004872,0.015062,-0.027948,0.003853,-0.041123,-0.007226,0.026468,0.00209,0.014958,-0.011506,-0.013039,0.004204,-0.006286,-0.003555,-0.007305
Greek,0.118496,0.143404,0.013338,-0.018615,0.020295,-0.005035,0.001756,4.9e-05,0.000678,0.013668,0.000239,0.002011,-0.003091,0.007721,-0.016972,-0.001654,0.008242,0.00058,0.004935,-0.003897,-0.007132,0.001321,0.002348,-0.000932,-0.001317
Greek_Central_Anatolia,0.110029,0.144205,-0.037209,-0.059217,-0.013336,-0.02008,0.003133,-0.003,-0.019634,0.011542,0.005359,0.004946,-0.006888,0.005,-0.011039,0.001061,0.009648,0.002492,0.004483,-0.002626,0.002454,0.004658,-0.000288,-0.000361,-0.000718
Greek_Crete,0.110029,0.144883,-0.01521,-0.049096,0.003591,-0.017198,0.003212,-0.003154,-0.004363,0.011481,0.000866,0.003047,9.9e-05,0.002982,-0.00846,0.002961,0.010518,0.005321,-0.000628,-0.00321,-0.00183,0.001607,-0.000781,-0.001366,-0.001517
Greek_Trabzon,0.109144,0.139692,-0.053761,-0.06137,-0.024859,-0.018128,0.007338,-0.004795,-0.038723,-0.004232,0.003013,0.00696,-0.013396,0.008426,-0.007902,-0.013716,0.005201,-0.001295,-0.000559,0.002501,0.003591,0.001278,-0.002013,-0.002919,-0.001224
Greenlander_East,0.070065,-0.235941,0.105133,0.049599,-0.079741,-0.024573,-0.091863,-0.104714,0.002931,-0.012534,0.014958,-0.00398,0.004476,-0.018778,-0.024641,-0.011211,-0.003086,0.012711,0.031047,0.016299,0.023736,-0.037384,0.008093,0.030808,0.034302
Greenlander_West,0.080309,-0.176815,0.098303,0.051142,-0.062678,-0.016455,-0.072566,-0.084612,0.00484,-0.010205,0.014994,-0.004496,0.00261,-0.012034,-0.014507,-0.010209,-0.006983,0.008488,0.022318,0.014243,0.019382,-0.029677,0.007148,0.026845,0.027463
Gujar,0.07124,0.001135,-0.114889,0.077083,-0.077807,0.050528,0.004424,0.005416,-0.003308,-0.008458,-0.006305,0.000229,0.001985,-0.006711,0.009341,0.014148,-0.002217,0.000842,0.001678,-0.013389,0.001835,-0.010212,0.002153,-0.005685,0.002233
Gujarati,0.051391,-0.057733,-0.156053,0.110822,-0.080584,0.062193,-0.000223,0.011607,0.033,0.018852,-0.006496,8.2e-05,-0.002178,0.001741,-0.000679,0.000378,0.00088,-0.000171,-0.001427,-0.003933,0.001429,-0.003314,0.001109,0.001127,-0.002976
Hadza,-0.500366,0.053011,-0.003243,-0.002455,0.001046,-0.005745,0.061526,-0.050536,0.070643,-0.064147,-0.009581,-3e-05,-0.024856,-0.003606,0.013301,-0.018907,0.019871,0.031647,0.001559,-0.007429,-0.005141,0.005886,-0.002095,-0.002747,0.004167
Hajji_Firuz_BA,0.113823,0.117801,-0.003394,0.034884,-0.020927,0.019801,0.00893,0.000692,-0.045813,-0.036265,0.012017,0.007643,-0.004162,-0.012248,0.019815,0.001193,-0.007432,0.00038,-0.004902,0.002751,-0.000749,-0.00371,0.001356,0.005061,0.000958
Hajji_Firuz_ChL,0.089636,0.13278,-0.078064,-0.066781,-0.0437,-0.019662,0.00987,-0.006577,-0.035178,-0.003098,0.005196,-0.001311,-0.000632,-0.001961,-0.004614,0.003613,0.00088,0.00228,0.0033,-0.006347,0.004523,-0.003339,-0.00835,-0.011899,0.000659
Hajji_Firuz_ChL_o,0.095611,0.111708,-0.069767,-0.036176,-0.047393,0.003626,-0.00235,-0.001846,-0.043155,-0.019499,0.003897,-0.002997,0.008771,0.002615,0.00095,0.009679,-0.010561,0.012922,0.006788,-0.003627,-0.003868,-0.013107,-0.004067,-0.004699,0.007664
Hakkipikki,0.030732,-0.117801,-0.180641,0.12554,-0.069551,0.061542,-0.003603,0.018384,0.06947,0.044101,-0.004493,4e-04,0.001487,0.009817,-0.01217,-0.021126,-0.005607,0.003632,0.001592,0.008379,0.002454,0.003174,0.002547,0.001968,-0.005389
Halberstadt_LBA,0.12862,0.132019,0.058454,0.054587,0.032006,0.023985,0.00752,0.005077,0.004704,-0.005103,0.002111,0.002248,-0.014271,-0.015001,0.015744,0.017369,0.007562,-0.003801,0.000628,0.004752,0.00262,0.002968,0.003574,0.00723,0.002754
Hallstatt_Bylany,0.124067,0.135065,0.065996,0.035207,0.044778,0.004741,0.001293,0.002769,0.012476,0.015308,-0.013072,-0.001274,-0.009812,-0.002615,0.007329,0.002188,-0.004694,0.006588,0.000691,0.006003,0.005927,0.003648,0.001479,-0.003916,-0.006706
Han,0.021532,-0.450303,-0.007479,-0.065246,0.076424,0.036093,0.003133,-0.004558,-0.015254,-0.00281,-0.051071,-0.006931,0.007929,-0.007833,-0.004241,0.001525,0.001717,-0.00037,-0.002032,-0.01039,0.012686,0.007079,0.013639,-0.001566,-0.001996
Han_NChina,0.025952,-0.436068,0.008523,-0.062275,0.048378,0.018686,0.003008,9.2e-05,-0.012353,0.001421,-0.072393,-0.008992,0.010763,-0.006138,-0.007655,-0.001405,0.001904,-0.001216,-0.004676,-0.009129,0.010057,0.009373,0.010156,0.001229,0.008263
Hasanlu_IA,0.09675,0.121864,-0.06939,-0.04199,-0.0437,-0.003904,0.002115,-0.004615,-0.033746,-0.014761,0.005684,0.001049,0.004757,-0.007707,0.003664,0.026916,0.009518,0.002534,0.006034,-0.001376,-0.000873,-0.000618,0.000493,-0.003133,-0.001557
Hawaiian,-0.003415,-0.414336,-0.053551,-0.044574,0.143104,0.027052,-0.005405,-0.011999,-0.023725,-0.020957,0.038324,0.002698,-0.005649,0.000275,0.013165,0.014452,0,0.011402,0.004651,-0.008379,0.000374,-0.025472,-0.007025,-0.003253,-0.058677
Hazara,0.064879,-0.166837,-0.003071,0.001061,-0.04014,0.004701,0.008158,0.006231,-0.011599,-0.003801,-0.025193,-0.002912,0.003101,-0.002575,0.003994,0.004281,-0.004992,0.001647,0.003717,0.002126,-0.007683,-0.002314,-0.003785,-0.001102,0.002669
Hazara_Afghanistan,0.068294,-0.149621,-0.009176,0.010336,-0.042469,0.006322,0.001802,0.005231,-0.010158,-0.00328,-0.018945,-0.00055,0.000644,-0.005092,0.005429,0.007779,-0.000478,0.000633,0.003394,-0.003126,-0.00549,-0.000453,-0.00645,-8e-05,-0.00012
Hezhen,0.029594,-0.438709,0.05076,-0.048773,-0.022404,-0.01863,0.011939,0.013015,0.000736,0.012246,-0.045631,-0.003777,0.004876,-0.002532,-0.006705,-0.003978,-0.004668,0.002939,0.008472,0.006778,0.006638,-0.014987,-0.006853,0.005398,-0.001126
Ho,0.005475,-0.228156,-0.174535,0.110574,-0.004001,0.065433,-0.006312,0.011164,0.07918,0.049829,0.022286,0.00476,-0.004573,0.013946,-0.022355,-0.024352,0.013548,-0.003957,-0.00434,0.028144,3e-05,0.018866,-0.006162,0.010931,0.006039
Hun_Tian_Shan,0.084115,-0.068904,0.035242,0.045543,-0.040962,0.006833,0.001857,0.003058,-0.017589,-0.024939,-0.008598,-0.002181,0.002222,-0.021793,0.015397,0.008333,-0.001532,0.001603,-0.000704,0.002414,-0.013876,0.002955,-0.002046,0.003699,-0.000473
Hungarian,0.127055,0.129543,0.055578,0.036741,0.036834,0.012463,0.006845,0.007918,0.001969,-0.004396,-0.001685,-0.002295,0.003847,0.009401,-0.003758,-0.000762,-0.001377,-8.7e-05,0.00275,-0.001297,-0.003431,0.001445,0.005415,0.002131,0.000157
Hungary_BA,0.12475,0.152939,0.047894,-0.002907,0.054841,-0.00859,0.006909,0.003138,0.020166,0.029304,-0.000747,0.001049,-0.010287,2.8e-05,-0.014278,-0.002519,0.008762,7.6e-05,0.010031,-0.000275,0.002546,0.004649,-0.001602,-0.018388,-0.002706
Hungary_IA,0.122929,0.081242,0.043746,0.029393,-0.004001,0.009203,0.004935,0.002077,-0.017998,-0.012757,-0.004709,-3e-04,-0.001189,-0.009358,0.008686,-0.00358,-0.014473,0.0019,0.011187,-0.003502,-0.005615,0.00272,-0.000123,0.001325,-0.001796
Hungary_LCA,0.121791,0.168578,0.02753,-0.058033,0.070269,-0.02696,-0.002037,-0.001615,0.040973,0.07988,0.001624,0.009591,-0.019772,0.00133,-0.029587,0.012287,0.024643,0.005405,0.00905,-0.006503,-0.004866,0.008656,-0.006286,-0.013094,-0.000359
Hungary_Medieval,0.132035,0.121864,0.042238,0.021964,0.033852,-0.005857,0.00752,0.007846,0.002863,0.012574,-0.001461,-0.003147,0.008771,-0.010872,0.012893,0.013922,0.008866,-0.001014,0.007793,-0.003001,-0.002246,-0.008779,-0.002465,-0.001928,-0.005748
Iberia_BA,0.127482,0.154868,0.054305,-0.000646,0.067705,0.003626,-0.002233,0.001846,0.039678,0.054853,-0.001461,0.007119,-0.02111,-0.024222,0.008754,0.00179,-0.000587,0.002977,0.001948,0.003377,0.006052,-0.000927,-0.008935,-0.015243,0.010598
Iberia_Central_CA,0.126723,0.171286,0.055939,-0.031977,0.101147,-0.02352,-0.00752,-0.001154,0.07172,0.095249,-0.008119,0.013788,-0.033696,-0.015597,-0.004569,0.006497,0.017819,0.002027,0.001215,0.000917,0.015514,4.1e-05,-0.012037,-0.031249,-0.000279
Iberia_ChL,0.125775,0.166293,0.060151,-0.02687,0.088767,-0.02008,-0.005743,0.001327,0.065166,0.094136,0.000386,0.013928,-0.034071,-0.020188,-0.003325,0.009952,0.011457,0.00198,0.000322,8.6e-05,0.018623,0.005634,-0.020089,-0.045436,0.002447
Iberia_MN,0.121222,0.162739,0.052325,-0.033592,0.085324,-0.021475,-0.00987,-0.001038,0.064323,0.092303,-0.003004,0.013863,-0.032854,-0.015723,-0.008177,-0.000331,0.010952,0.004244,-0.001257,-0.00544,0.018187,0.004637,-0.01556,-0.040578,0.002425
Iberia_N,0.124555,0.177718,0.031409,-0.067646,0.076981,-0.035818,-0.004029,-0.003099,0.06238,0.104161,0.00283,0.016036,-0.037611,-0.012366,-0.021134,-0.00555,0.008307,0.002588,0.005836,-0.00845,0.000677,0.003798,-0.007518,-0.021965,0.000975
Iberia_Southwest_CA,0.122929,0.1635,0.0445,-0.037791,0.094171,-0.022311,-0.00235,0.000923,0.069334,0.095492,0.004384,0.01139,-0.027948,-0.016652,-0.007872,-0.012463,-0.009388,0.006208,0.005908,-0.006378,0.013351,0.004699,-0.01479,-0.039162,0.005389
Iberomaurusian,-0.195093,0.083883,-0.022024,-0.086048,0.030036,-0.057284,-0.074357,0.017953,0.157811,0.003608,0.018577,-0.032521,0.078196,-0.05037,0.071036,-0.039459,0.005268,-0.066765,-0.142692,0.034592,-0.03958,-0.123133,0.071188,-0.013303,0.017939
Icelandic,0.132848,0.133034,0.067801,0.056641,0.039304,0.023228,0.003223,0.008274,0.003462,0.000156,-0.00573,0.005117,-0.006116,-0.009299,0.023092,0.006317,-0.010393,0.001421,0.002083,0.00402,0.008975,0.002897,-0.000836,0.014055,0.000351
Igorot,0.018591,-0.447848,-0.045757,-0.06783,0.143514,0.06306,-0.002872,-0.015102,-0.027929,-0.022172,0.050665,0.003231,-0.007995,-0.003288,0.013346,0.008574,-0.00594,0.007601,0.012277,-0.015494,0.005019,-0.035007,-0.003807,-0.009774,-0.071823
Ingrian,0.129758,0.090044,0.08988,0.07569,0.033032,0.025844,0.009949,0.012999,-0.000614,-0.026546,0.003194,-0.009891,0.014618,0.005688,-0.002941,0.002696,-0.001608,-0.000591,-0.004358,0.004961,0.004035,0.000165,0.007477,0.002008,0.003034
Iran_recent,0.09675,0.110693,-0.052797,-0.027778,-0.044624,-0.004741,0.000235,-0.006231,-0.030065,-0.013303,0.008931,-0.010041,0.011447,0.007019,0.003936,-0.001458,-0.02021,-0.004054,0.006536,-0.012881,-0.001123,-0.006059,0.006902,-0.00735,-0.001078
